"","au2010","lib2010","cat2010","tau2015","ppltn15","emply15","entrp15","nvntr15","prfss15","intll15","stnserv","emp_diff","entre_diff","new_diff","prof_diff","int_diff","serv_diff","libau2010"
"44",15,"Montpellier",112,9,599365,237548,50759,7591,13821,43325,64,-1.88058137978953,40.8505028755394,56.8856936291096,11.4362723082662,25.7149287491165,-28.635708485854,"Montpellier"
"45",103,"Thonon-les-Bains",112,6,91931,41319,5836,705,2182,4627,17,15.2853542952954,18.6793442380761,24.9613962691596,26.7452109153059,33.2762332432139,3.01135752695894,"Thonon-les-Bains"
"46",21,"Orléans",112,8,433337,184697,21049,2627,6884,26566,75,6.18326175901078,-13.5871123022165,-13.6344914950591,-23.6783601998965,16.8113902050832,15.6346142436167,"Orléans"
"47",89,"Compiègne",111,6,98257,39444,4845,555,1449,6231,14,3.82365172740542,-6.82135697315811,-6.2639923575472,-21.2873010275783,54.8309345874419,-22.2331106928469,"Compiègne"
"48",72,"Tarbes",112,7,115870,43476,6703,820,2152,4143,19,-3.3353151975156,8.56637085684859,14.6768743693151,0.6845435993724,-6.31746397663218,-6.13677021923671,"Tarbes"
"49",41,"Besançon",112,8,250223,103369,13634,1581,4431,14340,45,4.40214261293121,-0.151579562121107,-4.15260118781529,-9.18139389863075,22.8877050649061,12.6525134556889,"Besançon"
"50",138,"Lons-le-Saunier",112,6,58674,24046,3634,329,1269,2068,19,7.15286908455628,17.8050633167114,-1.97869552025907,20.4229188659615,8.12872710288843,53.4648671932699,"Lons-le-Saunier"
"51",56,"Chartres",112,7,146986,62971,7002,805,2364,7631,22,9.34233564814519,-11.7001189083879,-13.2709459451213,-15.2823927237876,25.4235117598435,-12.3110004668616,"Chartres"
"52",140,"Villeneuve-sur-Lot",111,6,56093,19315,3493,357,1308,1229,10,-10.1471577055072,18.5058916613396,11.1254432614716,28.2465142042493,-38.3608149135438,-6.7802873449307,"Villeneuve-sur-Lot"
"53",36,"Bayonne (partie française)",111,8,297375,120596,23923,2906,8319,12306,50,2.12967229088825,38.1992926717432,37.7752307832814,35.402419686632,-13.702625420177,8.06713405977724,"Bayonne (partie française)"
